date,open,high,low,close,volume,sp_pct_move
2005-01-03,1213.5,1221.25,1201.75,1206.25,672360,1.6069221260815822
2005-01-04,1206.25,1209.5,1186.75,1191.0,869562,1.8860103626943003
2005-01-05,1190.75,1195.0,1182.75,1183.25,855689,1.028763384421583
2005-01-06,1183.25,1193.75,1182.75,1188.25,678414,0.9296429326008875
2005-01-07,1188.5,1194.5,1183.5,1186.25,766197,0.9255363904080774
2005-01-10,1187.0,1196.75,1185.25,1191.75,727775,0.9688289806234204
2005-01-11,1191.25,1192.75,1181.75,1184.0,759233,0.9233997901364113
2005-01-12,1186.0,1189.75,1176.75,1187.5,948455,1.0961214165261384
2005-01-13,1187.75,1190.25,1176.25,1178.0,727580,1.1786992212165859
2005-01-14,1178.25,1186.75,1176.75,1183.75,518753,0.8487163165711862
2005-01-18,1185.0,1197.75,1180.5,1195.75,777663,1.4556962025316456
2005-01-19,1196.0,1197.25,1183.25,1183.5,730230,1.1705685618729096
2005-01-20,1181.5,1183.0,1174.0,1176.5,929786,0.761743546339399
2005-01-21,1177.25,1180.75,1167.25,1168.5,900208,1.146740284561478
2005-01-24,1170.0,1174.25,1164.25,1166.25,854722,0.8547008547008548
2005-01-25,1166.25,1175.5,1166.0,1169.75,739854,0.8145766345123259
2005-01-26,1169.75,1176.75,1169.5,1173.25,751462,0.6197905535370806
2005-01-27,1173.0,1178.0,1170.25,1174.75,732660,0.6606990622335891
2005-01-28,1175.25,1177.5,1166.25,1174.75,829911,0.9572431397574984
2005-01-31,1176.75,1183.0,1176.75,1181.75,669875,0.5311238580837051
2005-02-01,1181.25,1191.0,1179.5,1189.25,651757,0.9735449735449736
2005-02-02,1189.75,1196.0,1189.0,1193.25,587228,0.5883588989283463
2005-02-03,1192.25,1193.5,1185.75,1189.5,569604,0.6500314531348291
2005-02-04,1189.75,1204.5,1188.25,1202.0,654585,1.3658331582265182
2005-02-07,1202.75,1205.0,1199.5,1200.75,441330,0.4572853876532945
2005-02-08,1201.0,1206.25,1200.0,1202.25,458474,0.5203996669442131
2005-02-09,1201.75,1204.5,1191.75,1193.0,674518,1.0609527771999168
2005-02-10,1192.5,1199.5,1191.75,1196.5,624507,0.649895178197065
2005-02-11,1196.75,1210.0,1193.75,1207.0,807304,1.3578441612701064
2005-02-14,1207.75,1208.5,1204.0,1206.25,417612,0.37259366590767956
2005-02-15,1206.25,1213.5,1205.5,1210.75,677146,0.6632124352331606
2005-02-16,1210.5,1213.5,1203.5,1210.5,659402,0.8261049153242461
2005-02-17,1210.75,1212.0,1200.75,1201.0,807624,0.9291761304976255
2005-02-18,1201.25,1203.75,1197.5,1202.25,600297,0.5202913631633715
2005-02-22,1203.0,1203.25,1184.0,1184.75,949859,1.600166251039069
2005-02-23,1185.0,1194.0,1183.5,1192.75,761306,0.8860759493670887
2005-02-24,1192.75,1201.5,1188.0,1200.75,749925,1.1318381890588975
2005-02-25,1200.75,1213.25,1199.75,1212.0,657702,1.1242973141786383
